title,price,description,carat_weight,center_stone_shape,carat_material,photo_link,width,approx,metal,gold,copper,zinc,nickle,color_accent_tags,clarity_accent_tags,profile,carat,color,clarity,Url
The Zoey Set With A 2.5 Carat Oval Lab Diamond,"$3,510",criss-cross engagement ring,2.5,Oval,14k Rose Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_056_ae8a9639-b1ea-4670-a333-84b2b11bf4a9_3x_jpg.webp?v=1690863991&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_059_ddb00846-e8af-4ffa-bded-0ea815b90532_3x_jpg.webp?v=1690863992&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_645ff82c-3ccb-48bc-ae32-3c1173bf8620.jpg?v=1693996006&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_645ff82c-3ccb-48bc-ae32-3c1173bf8620.jpg?v=1693996006&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/OvalShapeStoneSolo-MUTZKHQT.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_053_fc583c34-dcb4-4d64-8f5f-911740ed63d7_3x_jpg.webp?v=1690863992&width=800&height=800&crop=center']",2.0mm,0.35 ct,14k Rose Gold,58.5% Gold,36.3% Copper,3.7% Silver,1.4% Zinc,D-F,VVS,High,2.5,D-F,VS,https://keyzarjewelry.com/products/the-zoey-setting-oval-14k-rose-gold-2-5-carat-lab-diamond
The Jade Set With A 2 Carat Princess Lab Diamond,"$3,620","The Jade stunning split shank design features a delicate band with dynamic sparkle. A shimmering row of pave diamonds splits, continuing up the base of each prong to meet at a subtle point before descending into a diamond-studded bridge. The setting boasts glittering brilliance from all angles, making your center stone appear larger while a slimming silhouette elongates the finger. ",2,Princess,14k Yellow Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/374Q-PR-YG-G2c_0_c37d735c-2f05-41d0-8383-5a79f29c91d4_3x_jpg.webp?v=1690888743&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/374Q-PR-YG-G5d_0_0806f925-6f09-4d20-9e38-5c396a63de0b_3x_jpg.webp?v=1690888744&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/fb10825bebed56780361f51dd9990215_9d0d05a1-6c8c-4ba9-982d-813f14521490.jpg?v=1693926419&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/fb10825bebed56780361f51dd9990215_9d0d05a1-6c8c-4ba9-982d-813f14521490.jpg?v=1693926419&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/PrincessShapeStoneSolo-TJJ3BKAV.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/374Q-PR-YG-G5b_0_1e8e14da-f4ff-49bb-8247-e19d9de87224_3x_jpg.webp?v=1690888743&width=800&height=800&crop=center']",1.8mm,0.3 ct,14k Yellow Gold,58.5% Gold,30.5% Copper,6.1% Silver,4.7% Zinc,D-F,VVS,High,2,D-F,VS,https://keyzarjewelry.com/products/the-jade-setting-princess-14k-yellow-gold-2-carat-lab-diamond
The Zoey Set With A 1 Carat Princess Lab Diamond,"$2,520",criss-cross engagement ring,1,Princess,14k Rose Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_032_7bf89269-9819-4653-9703-6f3c6c33074c_3x_jpg.webp?v=1690864074&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_035_77888429-32c6-49d4-9ed0-91239384d031_3x_jpg.webp?v=1690864073&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_25615bf8-d559-43a0-8c72-c4be1b3f6b49.jpg?v=1693996022&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_25615bf8-d559-43a0-8c72-c4be1b3f6b49.jpg?v=1693996022&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/PrincessShapeStoneSolo-TJJ3BKAV.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_029_94c20699-3d7b-4b11-b349-52429d9c3bee_3x_jpg.webp?v=1690864073&width=800&height=800&crop=center']",2.0mm,0.35 ct,14k Rose Gold,58.5% Gold,36.3% Copper,3.7% Silver,1.4% Zinc,D-F,VVS,High,1,D-F,VS,https://keyzarjewelry.com/products/the-zoey-setting-princess-14k-rose-gold-1-carat-lab-diamond
The Zoey Set With A 1.5 Carat Elongated Cushion Lab Diamond,"$3,650",criss-cross engagement ring,1.5,Elongated Cushion,Platinum,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-WG_079_3x_jpg_b45e480b-ac58-42d8-92a6-be03659041f2.webp?v=1690864034&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-WG_082_3x_jpg_6f5c5cc1-1db4-43f8-a077-de1bcd10921d.webp?v=1690864034&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/8cc80d5cfd2a383ae98b5768dec1e95f_906f7947-8ac4-4aa0-ae08-bf7b6e444f5a.jpg?v=1693995987&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/8cc80d5cfd2a383ae98b5768dec1e95f_906f7947-8ac4-4aa0-ae08-bf7b6e444f5a.jpg?v=1693995987&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/ElongatedCushionShapeStoneSolo-C2FGNMKS.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-WG_076_3x_jpg_1d970b50-824d-4f15-a85c-b37d499e139f.webp?v=1690864034&width=800&height=800&crop=center']",2.0mm,0.35 ct,Platinum,95% Platinum,3% Copper,2% Cobalt,,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-zoey-setting-elongated-cushion-platinum-1-5-carat-lab-diamond
The Zoey Set With A 1 Carat Emerald Lab Diamond,"$2,820",criss-cross engagement ring,1,Emerald,18k Rose Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_068_85310978-36ff-4d82-b5e3-8aa9f9778642_3x_jpg.webp?v=1690864049&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_071_4aee6930-0cde-4aba-a1c1-e6c4fae2a74d_3x_jpg.webp?v=1690864049&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_acab53ce-79b5-4727-9a39-559e6ed267bf.jpg?v=1693996017&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/04a8210757202c8a35b61763d052584c_acab53ce-79b5-4727-9a39-559e6ed267bf.jpg?v=1693996017&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/EmeraldShapeStoneSolo-ZGDOHXSP.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-RG_065_881bba35-8475-4efb-be4e-7daf06db9976_3x_jpg.webp?v=1690864049&width=800&height=800&crop=center']",2.0mm,0.35 ct,18k Rose Gold,75% Gold,21.8% Copper,2.2% Silver,0.8% Zinc,D-F,VVS,High,1,D-F,VS,https://keyzarjewelry.com/products/the-zoey-setting-emerald-18k-rose-gold-1-carat-lab-diamond
The Low Profile Kamellie Set With A 1.5 Carat Elongated Cushion Lab Diamond,"$2,750","Set with intricate pave diamonds, The Low Profile Kamellie blends the tastefully modern with a timeless classic. The hidden halo ensures there is sparkle coming in from every angle, highlighting your center stone and making it appear larger. The delicate design flatters the finger, while its low profile makes it practical for even the busiest hands.",1.5,Elongated Cushion,14k White Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_attgfFqOYBDzqHm7K_c42f2ef2-5940-491c-9806-6ae97664ae11.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_att4bY7zUZzTwX5eJ_4df26e4b-0c27-4b0a-9e42-b010b24666d4.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_attNY7VRFZN3ok0dc_4df7dd33-5a6b-43ad-bb75-1dcf104b7e2e.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_attFO4G5SqLNXmn58_ef34b374-ac0c-4a1b-89c5-e610ff3dcfb9.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_attROqLpc9FCGg6kO_842b10ae-a02c-4148-99d7-46fe7d6481e5.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_attr1HjsxQwnUT0Pv_8040c730-c788-4eda-8474-2fad7c94ccee.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_attdN6hEF6L1893NR_10794e1e-6c19-4bf7-a49c-eab64328e779.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_att942fUoETgfmEcw_874f7912-bde4-4edc-b4b4-a8f811b9b96d.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_att36JoraVMUWVeZU_2d46f85d-0ca1-4d25-a421-5b3fadd894dd.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-ECU-WG_attzjDI5XvIMvUlBA_86e4a54f-5eca-41ae-8024-73033dd33032.jpg?v=1714942766&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/18c96568fc00d97e959a66dabc308fcb_726019f5-4320-45e6-ba05-749486271d93.jpg?v=1693928374&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/18c96568fc00d97e959a66dabc308fcb_726019f5-4320-45e6-ba05-749486271d93.jpg?v=1693928374&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/ElongatedCushionShapeStoneSolo-C2FGNMKS.png']",1.5mm,0.25 ct,14k White Gold,58.5% Gold,25.4% Copper,8.7% Zinc,7.3% Nickel,D-F,VVS,Low,1.5,D-F,VS,https://keyzarjewelry.com/products/the-low-profile-kamellie-setting-elongated-cushion-14k-white-gold-pave-1-5-carat-lab-diamond
The Low Profile Kamellie Set With A 1 Carat Emerald Lab Diamond,"$2,820","Set with intricate pave diamonds, The Low Profile Kamellie blends the tastefully modern with a timeless classic. The hidden halo ensures there is sparkle coming in from every angle, highlighting your center stone and making it appear larger. The delicate design flatters the finger, while its low profile makes it practical for even the busiest hands.",1,Emerald,Platinum,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-EM-WG-G2c_c82b0a08-3e47-4143-9945-8309e1cf3dd9_3x_jpg.webp?v=1691488782&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-EM-WG-G5d_2d6cfbf6-16e7-49bc-adb2-818ecd0caf2a_3x_jpg.webp?v=1691488782&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/18c96568fc00d97e959a66dabc308fcb_4bdef604-7c49-4b58-acac-53ed430e9d29.jpg?v=1693928379&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/18c96568fc00d97e959a66dabc308fcb_4bdef604-7c49-4b58-acac-53ed430e9d29.jpg?v=1693928379&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/EmeraldShapeStoneSolo-ZGDOHXSP.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/301Q-ER-EM-WG-G5b_d454d3d4-e27c-424f-8978-97ba4a5c7de8_3x_jpg.webp?v=1691488781&width=800&height=800&crop=center']",1.5mm,0.25 ct,Platinum,95% Platinum,3% Copper,2% Cobalt,,D-F,VVS,Low,1,D-F,VS,https://keyzarjewelry.com/products/the-low-profile-kamellie-setting-emerald-platinum-pave-1-carat-lab-diamond
The Halo Stephanie Set With A 2 Carat Radiant Lab Diamond,"$3,570","The Halo Stephanie is a stunning halo engagement ring that combines timeless elegance with contemporary brilliance. The vintage-inspired design adds a touch of romance and sophistication, making it the perfect choice for those who appreciate the charm of bygone eras, while the diamond halo enhances the center stone's brilliance, creating a dazzling display of light and sparkle. This ring is a celebration of love, style, and timeless beauty, making it the perfect choice for the moment you say, ""Forever.""",2,Radiant,14k White Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/products/415Q-ER-RAD-C125-WG-DIA-2ks_0.jpg?v=1699441077&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/products/415Q-ER-RAD-C1-WG-DIA-2Ks_0.jpg?v=1699441077&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/products/415Q-ER-R-A19-WG_0_9e25900a-112d-43fc-8424-53ea5049002a.jpg?v=1699441077&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/products/415Q-ER-R-A19-WG_0_9e25900a-112d-43fc-8424-53ea5049002a.jpg?v=1699441077&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/RadiantShapeStoneSolo-Y545I2FE.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/products/415Q-ER-RAD-C37-WG-DIA-2Ks_0.jpg?v=1699441077&width=800&height=800&crop=center']",1.5mm,0.3 ct,14k White Gold,58.5% Gold,25.4% Copper,8.7% Zinc,7.3% Nickel,D-F,VVS,Medium,2,D-F,VS,https://keyzarjewelry.com/products/the-halo-stephanie-setting-radiant-14k-white-gold-2-carat-lab-diamond
The Monica Set With A 3 Carat Round Lab Diamond,"$5,710","The Monica is a true masterpiece that combines sleek refinement with icy sparkle. The centerpiece is a magnificent diamond that sparkles from every angle, surrounded by a glittering hidden halo that adds extra brilliance to the already stunning stone. The slender band is adorned with channel set baguette diamonds that perfectly complement the center stone. With its classic elegance and modern sophistication, The Monica engagement ring is the perfect way to celebrate your love story.",3,Round,14k Rose Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/389Q-R-RG-G2c_0_8383c8c3-4b40-4605-a1f2-55203705c833_3x_jpg.webp?v=1690853543&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/389Q-R-RG-G5d_0_bce9cfd4-4ecb-466f-8924-c8738caaa39e_3x_jpg.webp?v=1690853543&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/7ff9185f1f8557d1de2509e12c3f28a9.jpg?v=1693929347&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/7ff9185f1f8557d1de2509e12c3f28a9.jpg?v=1693929347&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/RoundShapeStoneSolo-MHTOVVUU.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/389Q-R-RG-G5b_0_943062d9-b6b3-4fa2-987b-0888a7b27259_3x_jpg.webp?v=1690853543&width=800&height=800&crop=center']",2.5mm,0.48 ct,14k Rose Gold,58.5% Gold,36.3% Copper,3.7% Silver,1.4% Zinc,D-F,VVS,High,3,D-F,VS,https://keyzarjewelry.com/products/the-monica-setting-round-14k-rose-gold-3-carat-lab-diamond
The Halo Stephanie Set With A 2 Carat Emerald Lab Diamond,"$3,870","The Halo Stephanie is a stunning halo engagement ring that combines timeless elegance with contemporary brilliance. The vintage-inspired design adds a touch of romance and sophistication, making it the perfect choice for those who appreciate the charm of bygone eras, while the diamond halo enhances the center stone's brilliance, creating a dazzling display of light and sparkle. This ring is a celebration of love, style, and timeless beauty, making it the perfect choice for the moment you say, ""Forever.""",2,Emerald,18k White Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/products/415Q-ER-EM-C125-WG-DIA-2ks_0.jpg?v=1699446366&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/products/415Q-ER-EM-C1-WG-DIA-2Ks_0.jpg?v=1699446366&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/products/415Q-ER-R-A19-WG_0_3b422518-6465-44c0-9613-4e1c77f501a8.jpg?v=1699441003&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/products/415Q-ER-R-A19-WG_0_3b422518-6465-44c0-9613-4e1c77f501a8.jpg?v=1699441003&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/EmeraldShapeStoneSolo-ZGDOHXSP.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/415Q-ER-EM-C37-WG-DIA-2Ks_0_f632b2c3-d390-4b97-b921-654e5e79a2b0.jpg?v=1699446366&width=800&height=800&crop=center']",1.5mm,0.3 ct,18k White Gold,75% Gold,15.3% Copper,5.2% Zinc,4.4% Nickel,D-F,VVS,Medium,2,D-F,VS,https://keyzarjewelry.com/products/the-halo-stephanie-setting-emerald-18k-white-gold-2-carat-lab-diamond
The Jade Set With A 1.5 Carat Elongated Cushion Lab Diamond,"$3,350","The Jade stunning split shank design features a delicate band with dynamic sparkle. A shimmering row of pave diamonds splits, continuing up the base of each prong to meet at a subtle point before descending into a diamond-studded bridge. The setting boasts glittering brilliance from all angles, making your center stone appear larger while a slimming silhouette elongates the finger. ",1.5,Elongated Cushion,14k Yellow Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/374Q-ECU-YG-G2c_0_f84bcbde-b75a-4686-b32c-cc522fc85f7a.jpg?v=1692171943&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/374Q-ECU-YG-G5d_0_84fd5840-f02a-4ecb-bc59-6841bc100995_3x_jpg.webp?v=1692171943&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/fb10825bebed56780361f51dd9990215_486c24bd-a392-48a7-90d2-88ce461d12c9.jpg?v=1693926410&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/fb10825bebed56780361f51dd9990215_486c24bd-a392-48a7-90d2-88ce461d12c9.jpg?v=1693926410&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/ElongatedCushionShapeStoneSolo-C2FGNMKS.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/374Q-ECU-YG-G5b_0_efb6d670-612b-43d3-b502-f5f44e6a41ae_3x_jpg.webp?v=1690888706&width=800&height=800&crop=center']",1.8mm,0.3 ct,14k Yellow Gold,58.5% Gold,30.5% Copper,6.1% Silver,4.7% Zinc,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-jade-setting-elongated-cushion-14k-yellow-gold-1-5-carat-lab-diamond
The Razor Kamellie Set With A 1 Carat Cushion Lab Diamond,"$2,070",slim knife-edge band,1,Cushion,18k Yellow Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-CU-YG-G2c_30f8497e-3e8f-4c27-8953-b514172ba634_3x_jpg.webp?v=1690908734&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-CU-YG-G5d_c0cc92eb-afd7-4f47-88c0-70e3fec3dbf8_3x_jpg.webp?v=1690908734&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/61f9b5a788ca93f1deb7cfafb2130e98_606c05e8-7dab-4d9c-be32-cb4bd2f4bf04.jpg?v=1693934026&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/61f9b5a788ca93f1deb7cfafb2130e98_606c05e8-7dab-4d9c-be32-cb4bd2f4bf04.jpg?v=1693934026&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/CushionShapeStoneSolo-T7O7FAUV.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/294Q-ER-CU-YG-G5b_6143e3b8-2fb9-46b5-86ba-9dcaefbfaa5b_3x_jpg.webp?v=1690908734&width=800&height=800&crop=center']",1.8mm,0.12 ct,18k Yellow Gold,75% Gold,11.5% Copper,12.5% Silver,1% Zinc,D-F,VVS,High,1,D-F,VS,https://keyzarjewelry.com/products/the-razor-kamellie-setting-cushion-18k-yellow-gold-1-carat-lab-diamond
The Monica Set With A 2 Carat Round Lab Diamond,"$4,520","The Monica is a true masterpiece that combines sleek refinement with icy sparkle. The centerpiece is a magnificent diamond that sparkles from every angle, surrounded by a glittering hidden halo that adds extra brilliance to the already stunning stone. The slender band is adorned with channel set baguette diamonds that perfectly complement the center stone. With its classic elegance and modern sophistication, The Monica engagement ring is the perfect way to celebrate your love story.",2,Round,18k Rose Gold,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/389Q-R-RG-G2c_0_8383c8c3-4b40-4605-a1f2-55203705c833_3x_jpg.webp?v=1690853543&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/389Q-R-RG-G5d_0_bce9cfd4-4ecb-466f-8924-c8738caaa39e_3x_jpg.webp?v=1690853543&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/7ff9185f1f8557d1de2509e12c3f28a9.jpg?v=1693929347&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/7ff9185f1f8557d1de2509e12c3f28a9.jpg?v=1693929347&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/RoundShapeStoneSolo-MHTOVVUU.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/389Q-R-RG-G5b_0_943062d9-b6b3-4fa2-987b-0888a7b27259_3x_jpg.webp?v=1690853543&width=800&height=800&crop=center']",2.5mm,0.48 ct,18k Rose Gold,75% Gold,21.8% Copper,2.2% Silver,0.8% Zinc,D-F,VVS,High,2,D-F,VS,https://keyzarjewelry.com/products/the-monica-setting-round-18k-rose-gold-2-carat-lab-diamond
The Zoey Set With A 1.5 Carat Round Lab Diamond,"$3,650",criss-cross engagement ring,1.5,Round,Platinum,"['https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-ER-R-WG_attIEmKvpumcfYI23_77a36b27-1515-4854-8326-772b61ec3783.jpg?v=1714946789&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-ER-R-WG_attdLTWE1FEXsBhhr_04345a3b-8559-49f7-9718-9ab44581477d.jpg?v=1714946789&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/8cc80d5cfd2a383ae98b5768dec1e95f.jpg?v=1693995970&width=800&height=800&crop=center', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/8cc80d5cfd2a383ae98b5768dec1e95f.jpg?v=1693995970&width=800&height=800&crop=center', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/hand-with-setting-23F6JYZ6.png', 'https://cdn.shopify.com/oxygen-v2/24658/9071/18525/874632/build/_assets/RoundShapeStoneSolo-MHTOVVUU.png', 'https://cdn.shopify.com/s/files/1/0039/6994/1568/files/290Q-ER-R-WG_attGYiHXY4ZIJHnqP_02e72dd6-0deb-43f2-8f8a-546d6cfaf82b.jpg?v=1714946789&width=800&height=800&crop=center']",2.0mm,0.35 ct,Platinum,95% Platinum,3% Copper,2% Cobalt,,D-F,VVS,High,1.5,D-F,VS,https://keyzarjewelry.com/products/the-zoey-setting-round-platinum-1-5-carat-lab-diamond
